feature1,feature2,label
1.622330632042909,2.062174960084877,0
3.5150352672086598,3.513785950912209,0
3.5150476863060476,6.852731490654721,0
3.570890510693167,4.135565640180599,0
3.9540017634932023,3.651391251305798,0
2.6847307553596544,3.758969220493267,0
2.227174785462428,2.763181393259991,0
2.5146364521708966,3.0818741393863225,0
5.314658566673509,1.1327348074082517,0
3.6862601903745134,1.3872841288103481,0
2.5280681342105664,4.088950596967367,0
3.0642800190954627,1.9222552220706939,0
2.284696290740032,3.679597748934676,0
2.2696333682828636,3.216458589581975,0
3.045571839903814,2.3483996523941832,0
5.143944089325325,3.633919022318011,0
0.9748574133423928,3.1864543147694278,0
2.338213535231612,3.852433334796224,0
2.2074792615672996,2.885263558533101,0
3.5049872789804573,3.8657551941701214,0
1.7997035929442238,2.6654987641590515,0
2.525054688839044,2.3466707674262883,0
4.765454240281096,3.4049817109609557,0
1.7391160456649548,3.917861947054776,0
5.122156197012633,4.032465260551147,0
1.4806300340459866,2.5157659271337485,0
4.2669111491866225,2.292330534381219,0
3.443819428146228,3.7746340534293368,0
2.073069528421917,2.9404746439382,0
-0.24126734006907258,1.9756123586657102,0
2.7474318486068396,1.7522168180351505,0
4.632411303931635,1.5698586220393673,0
2.559955513303016,3.1307405772860912,0
4.441273289066116,1.5641378488205606,0
4.16316375215496,3.010233061019587,0
2.018491348952049,3.462103474263271,0
3.19905969557347,2.3997831228412054,0
3.0698020849900187,2.61468640313824,0
3.113517345251248,3.6621306745210465,0
4.586016816145352,1.762184501173151,0
5.133033374656266,1.0479122004774981,0
2.8482149049644168,3.588317206484576,0
3.2809918677350325,2.377300480179406,0
2.7918777496427247,2.5069990653411667,0
2.410635243055788,3.849602097021025,0
3.3570154859650474,2.3070904047393457,0
3.8995998754332506,3.3072995208766094,0
3.81286211883896,3.629628841923612,0
2.1710049890779275,2.43981895980303,0
3.7472936051232617,3.610370265433465,0
2.979098406035852,3.117327383308782,0
4.2776648957884245,2.40842861116417,0
3.5470973811700377,2.797807347566106,0
2.78231879677278,4.09877685198719,0
3.8254163489880297,3.8135096360006386,0
4.305478807154329,3.021003841632759,0
3.681952971294964,2.689733243406544,0
3.324166352488442,2.8698569456323155,0
3.0969959649927183,3.5951570254369134,0
2.1817793167665274,5.092387275685461,0
1.993982618500298,1.7858113872122678,0
4.158110873500068,3.7916626939629356,0
3.624119817052155,3.62834550926428,0
2.9877532271530853,2.1027456285141684,0
3.0758045581937266,2.322838288487888,0
3.9751197334177513,2.8529426184978615,0
2.1745028032074885,2.6786141583470067,0
3.4129314542756246,2.4362754471960253,0
2.1777796044335687,3.2436872114919124,0
3.2449665711087228,2.4930568246288702,0
2.5289616943816773,3.2320499373576363,0
1.5519156585026759,1.5925362256234448,0
2.281555778747564,2.786552848288153,0
3.3109075655980047,4.475356216949552,0
3.8576596232020193,2.8400614700365727,0
2.980983792097311,1.9974706353621912,0
2.98148686400761,2.711341361079862,0
3.3227185603380893,2.172769056447677,0
3.5193465142411724,4.532738913002578,0
2.8912398515431423,3.4017117220989412,0
3.6901439917111123,2.598779528114164,0
3.2240924818104166,3.012592400781795,0
3.0976760985488316,2.2269902161445336,0
3.0245101742589426,3.4979982912454495,0
4.451143607795042,3.959270826085207,0
5.153182457511557,2.2326524371119505,0
3.872320636720678,3.1833420057383517,0
5.189802933217672,2.1917017146448483,0
2.160278157819224,2.400607354555978,0
0.8761042756901931,2.474244978319239,0
2.240867338446302,3.1503937864762075,0
3.3417559757771595,4.876170839215886,0
3.95042383818605,2.423096344337597,0
2.101585328651642,3.4919191715065057,0
1.6797667929793578,4.831458765854354,0
4.179440120721287,2.530824347895295,0
1.286865470909122,4.353872374165413,0
2.885460154747382,4.237816311973462,0
